,Unnamed: 0,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
","Rank[Note 2]
","Height(m) [2]
","Drop (m)[Note 3]
","Coordinates[4]
","Range [Note 4]
","Range[Note 5]
","Region [Note 6]
","First[5]ascent
"
11,11,"1063
","Cima di Pinadee
",2486,455,"46°30′48″N 08°58′37″E﻿ / ﻿46.51333°N 8.97694°E﻿ / 46.51333; 8.97694﻿ (1063. Cima di Pinadee (2486 m))
","Adula Alps
","I/B-10.III-B
","Ticino
","CH
",,,,,,,,,
12,12,"1064
","Grand Arc
",2484,693,"45°34′00″N 06°21′53″E﻿ / ﻿45.56667°N 6.36472°E﻿ / 45.56667; 6.36472﻿ (1064. Grand Arc (2484 m))
","Lauzière massif
","I/B-07.II-F
","Savoie
","FR
",,,,,,,,,
13,13,"1065
","Étale (mountain)
",2483,997,"45°51′00″N 06°26′52″E﻿ / ﻿45.85000°N 6.44778°E﻿ / 45.85000; 6.44778﻿ (1065. Étale (mountain) (2483 m))
","Aravis Range
","I/B-08.IV-A
","Haute-Savoie / Savoie
","FR
",,,,,,,,,
14,14,"1066
","Monte Bertrand
",2483,385,"44°07′04″N 07°40′31″E﻿ / ﻿44.11778°N 7.67528°E﻿ / 44.11778; 7.67528﻿ (1066. Monte Bertrand (2483 m))
","Ligurian Alps
","I/A-01.II-A
","Alpes-Maritimes / Cuneo
","FR/IT
",,,,,,,,,
15,15,"1067
","Rammelstein
",2483,304,"46°50′04″N 12°03′11″E﻿ / ﻿46.83444°N 12.05306°E﻿ / 46.83444; 12.05306﻿ (1067. Rammelstein (2483 m))
","Rieserferner Group
","II/A-17.III-A
","South Tyrol
","IT
",,,,,,,,,
16,16,"1068
","Hochkarspitze
",2482,662,"47°26′51″N 11°21′02″E﻿ / ﻿47.44750°N 11.35056°E﻿ / 47.44750; 11.35056﻿ (1068. Hochkarspitze (2482 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol / Bavaria
","AT/DE
",,,,,,,,,
17,17,"1069
","Rauchberg [nl]
",2480,483,"47°18′15″N 10°45′32″E﻿ / ﻿47.30417°N 10.75889°E﻿ / 47.30417; 10.75889﻿ (1069. Rauchberg (2480 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
",,,,,,,,,
18,18,"1070
","Monte Pramaggiore [it]
",2478,550,"46°21′54″N 12°33′12″E﻿ / ﻿46.36500°N 12.55333°E﻿ / 46.36500; 12.55333﻿ (1070. Monte Pramaggiore (2478 m))
","Carnic Prealps
","II/C-33.III-A
","Pordenone / Udine
","IT
",,,,,,,,,
19,19,"1071
","Monte Ziolera
",2478,345,"46°10′19″N 11°27′18″E﻿ / ﻿46.17194°N 11.45500°E﻿ / 46.17194; 11.45500﻿ (1071. Monte Ziolera (2478 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
",,,,,,,,,
20,20,"1072
","Spillgerte
",2476,453,"46°32′12″N 07°26′48″E﻿ / ﻿46.53667°N 7.44667°E﻿ / 46.53667; 7.44667﻿ (1072. Spillgerte (2476 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
",,,,,,,,,
21,21,"1073
","Rettelkirchspitze [de]
",2475,687,"47°15′35″N 14°07′40″E﻿ / ﻿47.25972°N 14.12778°E﻿ / 47.25972; 14.12778﻿ (1073. Rettelkirchspitze (2475 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
",,,,,,,,,
22,22,"1074
","Bivare / Monte Bìvera
",2474,696,"46°26′29″N 12°38′31″E﻿ / ﻿46.44139°N 12.64194°E﻿ / 46.44139; 12.64194﻿ (1074. Bivare / Monte Bìvera (2474 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
",,,,,,,,,
23,23,"1075
","Greim
",2474,686,"47°14′52″N 14°09′06″E﻿ / ﻿47.24778°N 14.15167°E﻿ / 47.24778; 14.15167﻿ (1075. Greim (2474 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
",,,,,,,,,
24,24,"1076
","Monte Rinaldo
",2473,675,"46°35′56″N 12°39′29″E﻿ / ﻿46.59889°N 12.65806°E﻿ / 46.59889; 12.65806﻿ (1076. Monte Rinaldo (2473 m))
","Carnic Alps
","II/C-33.I-A
","Belluno
","IT
",,,,,,,,,
25,25,"1077
","Pierre Avoi
",2473,300,"46°07′05″N 07°12′01″E﻿ / ﻿46.11806°N 7.20028°E﻿ / 46.11806; 7.20028﻿ (1077. Pierre Avoi (2473 m))
","Pennine Alps
","I/B-09.I-D
","Valais
","CH
",,,,,,,,,
26,26,"
","Špik
",2473,291,"46°26′55″N 13°48′52″E﻿ / ﻿46.44861°N 13.81444°E﻿ / 46.44861; 13.81444﻿ (Špik (2473 m))
","Julian Alps
","II/C-34.I-D
","Slovenia
","SI
",,,,,,,,,
27,27,"1078
","Rappenspitze
",2472,305,"47°14′12″N 10°11′51″E﻿ / ﻿47.23667°N 10.19750°E﻿ / 47.23667; 10.19750﻿ (1078. Rappenspitze (2472 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol / Vorarlberg
","AT
",,,,,,,,,
28,28,"1079
","Col Nudo
",2471,1644,"46°13′39″N 12°24′10″E﻿ / ﻿46.22750°N 12.40278°E﻿ / 46.22750; 12.40278﻿ (1079. Col Nudo (2471 m))
","Venetian Prealps
","II/C-32.II-B
","Belluno / Pordenone
","IT
",,,,,,,,,
29,29,"1080
","Loreakopf
",2471,907,"47°21′15″N 10°46′18″E﻿ / ﻿47.35417°N 10.77167°E﻿ / 47.35417; 10.77167﻿ (1080. Loreakopf (2471 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
",,,,,,,,,
30,30,"1081
","Cime de l'Aspre
",2471,468,"44°10′32″N 06°48′35″E﻿ / ﻿44.17556°N 6.80972°E﻿ / 44.17556; 6.80972﻿ (1081. Cime de l'Aspre (2471 m))
","Maritime Alps
","I/A-02.I-D
","Alpes-Maritimes
","FR
",,,,,,,,,
31,31,"1082
","Lungauer Kalkspitze [de]
",2471,412,"47°16′20″N 13°37′31″E﻿ / ﻿47.27222°N 13.62528°E﻿ / 47.27222; 13.62528﻿ (1082. Lungauer Kalkspitze (2471 m))
","Schladming Tauern
","II/A-18.II-A
","Salzburg
","AT
",,,,,,,,,
32,32,"1083
","Ochsenkopf[3]
",2470,352,"47°16′31″N 12°04′44″E﻿ / ﻿47.27528°N 12.07889°E﻿ / 47.27528; 12.07889﻿ (1083. Ochsenkopf  (2470 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
",,,,,,,,,
33,33,"1083
","Salzachgeier[3]
",2470,352,"47°17′37″N 12°06′13″E﻿ / ﻿47.29361°N 12.10361°E﻿ / 47.29361; 12.10361﻿ (1083. Salzachgeier  (2470 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
",,,,,,,,,
34,34,"1085
","Sasso di Bosconero
",2468,938,"46°20′11″N 12°16′07″E﻿ / ﻿46.33639°N 12.26861°E﻿ / 46.33639; 12.26861﻿ (1085. Sasso di Bosconero (2468 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
",,,,,,,,,
35,35,"1086
","Cima Scanaiol
",2467,479,"46°12′54″N 11°45′57″E﻿ / ﻿46.21500°N 11.76583°E﻿ / 46.21500; 11.76583﻿ (1086. Cima Scanaiol (2467 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
",,,,,,,,,
36,36,"1087
","Gamskarkogel [de]
",2467,376,"47°09′40″N 13°09′31″E﻿ / ﻿47.16111°N 13.15861°E﻿ / 47.16111; 13.15861﻿ (1087. Gamskarkogel (2467 m))
","Ankogel Group
","II/A-17.II-F
","Salzburg
","AT
",,,,,,,,,
37,37,"1088
","Hauts-Forts
",2466,546,"46°10′07″N 06°46′39″E﻿ / ﻿46.16861°N 6.77750°E﻿ / 46.16861; 6.77750﻿ (1088. Hauts-Forts (2466 m))
","Chablais Alps
","I/B-08.III-A
","Haute-Savoie
","FR
",,,,,,,,,
38,38,"1089
","Pizzo la Scheggia [it]
",2466,339,"46°11′03″N 08°24′55″E﻿ / ﻿46.18417°N 8.41528°E﻿ / 46.18417; 8.41528﻿ (1089. Pizzo la Scheggia (2466 m))
","Ticino Alps
","I/B-10.II-B
","V-C-O
","IT
",,,,,,,,,
39,39,"1090
","Creta Forata
",2462,857,"46°32′33″N 12°44′09″E﻿ / ﻿46.54250°N 12.73583°E﻿ / 46.54250; 12.73583﻿ (1090. Creta Forata (2462 m))
","Carnic Alps
","II/C-33.I-C
","Belluno / Udine
","IT
",,,,,,,,,
40,40,"1091
","Silberspitze
",2461,349,"47°11′03″N 10°34′22″E﻿ / ﻿47.18417°N 10.57278°E﻿ / 47.18417; 10.57278﻿ (1091. Silberspitze (2461 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
",,,,,,,,,
41,41,"1092
","Mont Mirantin
",2460,571,"45°41′03″N 06°29′58″E﻿ / ﻿45.68417°N 6.49944°E﻿ / 45.68417; 6.49944﻿ (1092. Mont Mirantin (2460 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
",,,,,,,,,
42,42,"1092
","Pointe de la Grande Journée
",2460,571,"45°40′03″N 06°30′04″E﻿ / ﻿45.66750°N 6.50111°E﻿ / 45.66750; 6.50111﻿ (1092. Pte de la Grande Journée (2460 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
",,,,,,,,,
43,43,"1094
","Rauchkofel
",2460,322,"46°37′10″N 12°53′00″E﻿ / ﻿46.61944°N 12.88333°E﻿ / 46.61944; 12.88333﻿ (1094. Rauchkofel (2460 m))
","Carnic Alps
","II/C-33.I-A
","Carinthia
","AT
",,,,,,,,,
44,44,"
","Cima dei Lasteri
",2459,295,"46°10′37″N 10°56′54″E﻿ / ﻿46.17694°N 10.94833°E﻿ / 46.17694; 10.94833﻿ (Cima dei Lasteri (2459 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
",,,,,,,,,
45,45,"1095
","Große Bischofsmütze
",2458,612,"47°29′38″N 13°30′40″E﻿ / ﻿47.49389°N 13.51111°E﻿ / 47.49389; 13.51111﻿ (1095. Große Bischofsmütze (2458 m))
","Dachstein Mts
","II/B-25.I-A
","Salzburg
","AT
",,,,,,,,,
46,46,"1096
","Gummfluh
",2458,574,"46°26′26″N 07°11′42″E﻿ / ﻿46.44056°N 7.19500°E﻿ / 46.44056; 7.19500﻿ (1096. Gummfluh (2458 m))
","Vaud Alps
","I/B-14.I-A
","Bern / Vaud
","CH
",,,,,,,,,
47,47,"1097
","Sonnjoch
",2457,625,"47°24′44″N 11°36′18″E﻿ / ﻿47.41222°N 11.60500°E﻿ / 47.41222; 11.60500﻿ (1097. Sonnjoch (2457 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
",,,,,,,,,
48,48,"1098
","Hohniesen
",2454,371,"46°34′38″N 07°35′00″E﻿ / ﻿46.57722°N 7.58333°E﻿ / 46.57722; 7.58333﻿ (1098. Hohniesen (2454 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
",,,,,,,,,
49,49,"
","Rumer Spitze [de]
",2454,296,"47°19′13″N 11°25′33″E﻿ / ﻿47.32028°N 11.42583°E﻿ / 47.32028; 11.42583﻿ (Rumer Spitze (2454 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
",,,,,,,,,
50,50,"1099
","Rocher Rond
",2453,365,"44°41′51″N 05°49′46″E﻿ / ﻿44.69750°N 5.82944°E﻿ / 44.69750; 5.82944﻿ (1099. Rocher Rond (2453 m))
","Dévoluy Mountains
","I/A-06.I-B
","Drôme  / Hautes-Alpes
","FR
",,,,,,,,,
51,51,"1100
","Gamsjoch [de]
",2452,658,"47°25′06″N 11°32′56″E﻿ / ﻿47.41833°N 11.54889°E﻿ / 47.41833; 11.54889﻿ (1100. Gamsjoch (2452 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
",,,,,,,,,
52,52,"1101
","Monte Bussaia
",2451,300,"44°13′05″N 07°28′05″E﻿ / ﻿44.21806°N 7.46806°E﻿ / 44.21806; 7.46806﻿ (1101. Monte Bussaia (2451 m))
","Maritime Alps
","I/A-02.I-A
","Cuneo
","IT
",,,,,,,,,
53,53,"1102
","Pomagagnon
",2450,370,"46°34′26″N 12°08′25″E﻿ / ﻿46.57389°N 12.14028°E﻿ / 46.57389; 12.14028﻿ (1102. Pomagagnon (2450 m))
","Dolomites – NE
","II/C-31.I-D
","Belluno
","IT
",,,,,,,,,
54,54,"1103
","Cima Cadi
",2449,589,"46°13′25″N 10°17′40″E﻿ / ﻿46.22361°N 10.29444°E﻿ / 46.22361; 10.29444﻿ (1103. Cima Cadi (2449 m))
","Ortler Alps
","II/C-28.I-B
","Brescia / Sondrio
","IT
",,,,,,,,,
55,55,"1104
","Großer Bösenstein
",2448,634,"47°26′36″N 14°24′16″E﻿ / ﻿47.44333°N 14.40444°E﻿ / 47.44333; 14.40444﻿ (1104. Großer Bösenstein (2448 m))
","Rottenmann Tauern
","II/A-18.III-B
","Styria
","AT
",,,,,,,,,
56,56,"1105
","Spitzmauer [de]
",2446,516,"47°41′43″N 14°03′44″E﻿ / ﻿47.69528°N 14.06222°E﻿ / 47.69528; 14.06222﻿ (1105. Spitzmauer (2446 m))
","Totes Gebirge
","II/B-25.III-A
","Upper Austria
","AT
",,,,,,,,,
57,57,"1106
","Monte Spondone
",2445,306,"45°58′50″N 09°47′41″E﻿ / ﻿45.98056°N 9.79472°E﻿ / 45.98056; 9.79472﻿ (1106. Monte Spondone (2445 m))
","Bergamasque Prealps
","II/C-29.II-B
","Bergamo
","IT
",,,,,,,,,
58,58,"1107
","Kröndlhorn
",2444,461,"47°17′56″N 12°09′53″E﻿ / ﻿47.29889°N 12.16472°E﻿ / 47.29889; 12.16472﻿ (1107. Kröndlhorn (2444 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
",,,,,,,,,
59,59,"1108
","Monte Siera [it]
",2443,344,"46°32′57″N 12°42′39″E﻿ / ﻿46.54917°N 12.71083°E﻿ / 46.54917; 12.71083﻿ (1108. Monte Siera (2443 m))
","Carnic Alps
","II/C-33.I-C
","Belluno / Udine
","IT
",,,,,,,,,
60,60,"1109
","Eisenhut
",2441,800,"46°57′07″N 13°55′44″E﻿ / ﻿46.95194°N 13.92889°E﻿ / 46.95194; 13.92889﻿ (1109. Eisenhut (2441 m))
","Nock Mountains
","II/A-19.I-A
","Styria
","AT
",,,,,,,,,
61,61,"1110
","Mürtschenstock
",2441,601,"47°04′12″N 09°08′39″E﻿ / ﻿47.07000°N 9.14417°E﻿ / 47.07000; 9.14417﻿ (1110. Mürtschenstock (2441 m))
","Glarus Alps
","I/B-13.II-C
","Glarus
","CH
",,,,,,,,,
62,62,"1111
","Großer Rosennock
",2440,657,"46°52′39″N 13°42′45″E﻿ / ﻿46.87750°N 13.71250°E﻿ / 46.87750; 13.71250﻿ (1111. Großer Rosennock (2440 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia
","AT
",,,,,,,,,
63,63,"1112
","Schwarzhorn
",2439,637,"46°20′05″N 11°27′17″E﻿ / ﻿46.33472°N 11.45472°E﻿ / 46.33472; 11.45472﻿ (1112. Schwarzhorn (2439 m))
","Fiemme Mountains
","II/C-31.V-A
","South Tyrol
","IT
",,,,,,,,,
64,64,"1113
","Pointe Blanche [fr]
",2438,825,"45°59′58″N 06°27′35″E﻿ / ﻿45.99944°N 6.45972°E﻿ / 45.99944; 6.45972﻿ (1113. Pte Blanche (2438 m))
","Bornes Massif
","I/B-08.IV-B
","Haute-Savoie
","FR
",,,,,,,,,
65,65,"1114
","Gufelstock
",2436,423,"47°01′30″N 09°08′48″E﻿ / ﻿47.02500°N 9.14667°E﻿ / 47.02500; 9.14667﻿ (1114. Gufelstock (2436 m))
","Glarus Alps
","I/B-13.II-A
","Glarus
","CH
",,,,,,,,,
66,66,"
","Kraxenkogel
",2436,296,"47°15′14″N 13°21′26″E﻿ / ﻿47.25389°N 13.35722°E﻿ / 47.25389; 13.35722﻿ (Kraxenkogel (2436 m))
","Radstadt Tauern
","II/A-18.I-A
","Salzburg
","AT
",,,,,,,,,
67,67,"1115
","Altmann
",2435,313,"47°14′22″N 09°22′18″E﻿ / ﻿47.23944°N 9.37167°E﻿ / 47.23944; 9.37167﻿ (1115. Altmann (2435 m))
","Appenzell Alps
","I/B-14.V-B
","Appenzell / St. Gallen
","CH
",,,,,,,,,
68,68,"1116
","Laugenspitze
",2434,636,"46°32′05″N 11°05′10″E﻿ / ﻿46.53472°N 11.08611°E﻿ / 46.53472; 11.08611﻿ (1116. Laugenspitze (2434 m))
","Nonsberg Group
","II/C-28.II-A
","South Tyrol
","IT
",,,,,,,,,
69,69,"1117
","Seehorn
",2434,567,"46°10′57″N 08°06′56″E﻿ / ﻿46.18250°N 8.11556°E﻿ / 46.18250; 8.11556﻿ (1117. Seehorn (2434 m))
","Pennine Alps
","I/B-09.V-C
","Valais
","CH
",,,,,,,,,
70,70,"1118
","Deneck
",2433,359,"47°17′28″N 14°03′00″E﻿ / ﻿47.29111°N 14.05000°E﻿ / 47.29111; 14.05000﻿ (1118. Deneck (2433 m))
","Schladming Tauern
","II/A-18.II-A
","Styria
","AT
",,,,,,,,,
71,71,"1119
","Cornettes de Bise
",2432,1061,"46°19′57″N 06°47′05″E﻿ / ﻿46.33250°N 6.78472°E﻿ / 46.33250; 6.78472﻿ (1119. Cornettes de Bise (2432 m))
","Chablais Alps
","I/B-08.III-B
","Valais / Haute-Savoie
","CH/FR
",,,,,,,,,
72,72,"1120
","Mont de Grange
",2432,768,"46°15′45″N 06°46′51″E﻿ / ﻿46.26250°N 6.78083°E﻿ / 46.26250; 6.78083﻿ (1120. Mont de Grange (2432 m))
","Chablais Alps
","I/B-08.III-A
","Haute-Savoie
","FR
",,,,,,,,,
73,73,"1121
","Raz de Bec
",2431,535,"44°40′05″N 05°59′17″E﻿ / ﻿44.66806°N 5.98806°E﻿ / 44.66806; 5.98806﻿ (1121. Raz de Bec (2431 m))
","Dévoluy Mountains
","I/A-06.I-A
","Hautes-Alpes
","FR
",,,,,,,,,
74,74,"1122
","L'Ouillon
",2431,367,"45°14′24″N 06°12′54″E﻿ / ﻿45.24000°N 6.21500°E﻿ / 45.24000; 6.21500﻿ (1122. L'Ouillon (2431 m))
","Dauphiné Alps
","I/A-05.I-B
","Isère
","FR
",,,,,,,,,
75,75,"1123
","Monte Azzarini
",2431,331,"46°03′35″N 09°38′33″E﻿ / ﻿46.05972°N 9.64250°E﻿ / 46.05972; 9.64250﻿ (1123. Monte Azzarini (2431 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo / Sondrio
","IT
",,,,,,,,,
76,76,"1124
","Raucheck
",2430,1463,"47°29′57″N 13°13′36″E﻿ / ﻿47.49917°N 13.22667°E﻿ / 47.49917; 13.22667﻿ (1124. Raucheck (2430 m))
","Tennen Mountains
","II/B-24.IV-A
","Salzburg
","AT
",,,,,,,,,
77,77,"1125
","Laliderer Falk [de]
",2427,654,"47°26′06″N 11°31′09″E﻿ / ﻿47.43500°N 11.51917°E﻿ / 47.43500; 11.51917﻿ (1125. Laliderer Falk (2427 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
",,,,,,,,,
78,78,"1126
","Monte Ferrante
",2427,357,"45°58′29″N 10°01′43″E﻿ / ﻿45.97472°N 10.02861°E﻿ / 45.97472; 10.02861﻿ (1126. Monte Ferrante (2427 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo
","IT
",,,,,,,,,
79,79,"1127
","Sforniòi di Mezzo
",2425,362,"46°20′55″N 12°16′02″E﻿ / ﻿46.34861°N 12.26722°E﻿ / 46.34861; 12.26722﻿ (1127. Sforniòi di Mezzo (2425 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
",,,,,,,,,
80,80,"1128
","Großer Galtenberg
",2424,513,"47°20′12″N 11°58′35″E﻿ / ﻿47.33667°N 11.97639°E﻿ / 47.33667; 11.97639﻿ (1128. Großer Galtenberg (2424 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol
","AT
",,,,,,,,,
81,81,"1129
","Col della Croce
",2423,376,"46°09′55″N 11°38′19″E﻿ / ﻿46.16528°N 11.63861°E﻿ / 46.16528; 11.63861﻿ (1129. Col della Croce (2423 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
",,,,,,,,,
82,82,"1130
","Oberwölzer Schoberspitze [de]
",2423,333,"47°17′21″N 14°09′40″E﻿ / ﻿47.28917°N 14.16111°E﻿ / 47.28917; 14.16111﻿ (1130. Oberwölzer Schoberspitze (2423 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
",,,,,,,,,
83,83,"1131
","L'Argentine
",2422,393,"46°16′24″N 07°7′51″E﻿ / ﻿46.27333°N 7.13083°E﻿ / 46.27333; 7.13083﻿ (1131. L'Argentine (2422 m))
","Vaud Alps
","I/B-12.III-A
","Vaud
","CH
",,,,,,,,,
84,84,"1132
","Monte Cimon
",2422,374,"46°33′05″N 12°45′47″E﻿ / ﻿46.55139°N 12.76306°E﻿ / 46.55139; 12.76306﻿ (1132. Monte Cimon (2422 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
",,,,,,,,,
85,85,"1133
","Monte Capezzone
",2421,603,"45°56′42″N 08°12′32″E﻿ / ﻿45.94500°N 8.20889°E﻿ / 45.94500; 8.20889﻿ (1133. Cima di Capezzone (2421 m))
","Monte Rosa Alps
","I/B-09.III-C
","V-C-O / Vercelli
","IT
",,,,,,,,,
86,86,"1134
","Geierhaupt
",2417,1172,"47°22′29″N 14°38′11″E﻿ / ﻿47.37472°N 14.63639°E﻿ / 47.37472; 14.63639﻿ (1134. Geierhaupt (2417 m))
","Seckau Tauern
","II/A-18.IV-A
","Styria
","AT
",,,,,,,,,
87,87,"1135
","Monte Alto di Pelsa
",2417,455,"46°21′21″N 11°59′59″E﻿ / ﻿46.35583°N 11.99972°E﻿ / 46.35583; 11.99972﻿ (1135. Monte Alto di Pelsa (2417 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
",,,,,,,,,
88,88,"1136
","Ehrwalder Sonnenspitze
",2417,417,"47°22′03″N 10°55′19″E﻿ / ﻿47.36750°N 10.92194°E﻿ / 47.36750; 10.92194﻿ (1136. Ehrwalder Sonnenspitze (2417 m))
","Mieminger Chain
","II/B-21.III-A
","North Tyrol
","AT
",,,,,,,,,
89,89,"1137
","Pizzo Erra
",2417,301,"46°26′28″N 08°53′27″E﻿ / ﻿46.44111°N 8.89083°E﻿ / 46.44111; 8.89083﻿ (1137. Pizzo Erra (2417 m))
","Saint-Gotthard Massif
","I/B-10.I-B
","Ticino
","CH
",,,,,,,,,
90,90,"1138
","Karhorn [de]
",2416,706,"47°14′53″N 10°09′04″E﻿ / ﻿47.24806°N 10.15111°E﻿ / 47.24806; 10.15111﻿ (1138. Karhorn (2416 m))
","Lechquellen Mts
","II/B-21.II-A
","Vorarlberg
","AT
",,,,,,,,,
91,91,"1139
","Hochreichart [de]
",2416,336,"47°21′48″N 14°40′55″E﻿ / ﻿47.36333°N 14.68194°E﻿ / 47.36333; 14.68194﻿ (1139. Hochreichart (2416 m))
","Seckau Tauern
","II/A-18.IV-B
","Styria
","AT
",,,,,,,,,
92,92,"1140
","Hoh Brisen
",2413,489,"46°53′51″N 08°27′57″E﻿ / ﻿46.89750°N 8.46583°E﻿ / 46.89750; 8.46583﻿ (1140. Hoh Brisen (2413 m))
","Uri Alps
","I/B-12.I-B
","Nidwalden / Uri
","CH
",,,,,,,,,
