,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
"
37,"1088
","Hauts-Forts
",2466.0,546.0,"46°10′07″N 06°46′39″E﻿ / ﻿46.16861°N 6.77750°E﻿ / 46.16861; 6.77750﻿ (1088. Hauts-Forts (2466 m))
","Chablais Alps
","I/B-08.III-A
","Haute-Savoie
","FR
"
38,"1089
","Pizzo la Scheggia [it]
",2466.0,339.0,"46°11′03″N 08°24′55″E﻿ / ﻿46.18417°N 8.41528°E﻿ / 46.18417; 8.41528﻿ (1089. Pizzo la Scheggia (2466 m))
","Ticino Alps
","I/B-10.II-B
","V-C-O
","IT
"
39,"1090
","Creta Forata
",2462.0,857.0,"46°32′33″N 12°44′09″E﻿ / ﻿46.54250°N 12.73583°E﻿ / 46.54250; 12.73583﻿ (1090. Creta Forata (2462 m))
","Carnic Alps
","II/C-33.I-C
","Belluno / Udine
","IT
"
40,"1091
","Silberspitze
",2461.0,349.0,"47°11′03″N 10°34′22″E﻿ / ﻿47.18417°N 10.57278°E﻿ / 47.18417; 10.57278﻿ (1091. Silberspitze (2461 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
"
41,"1092
","Mont Mirantin
",2460.0,571.0,"45°41′03″N 06°29′58″E﻿ / ﻿45.68417°N 6.49944°E﻿ / 45.68417; 6.49944﻿ (1092. Mont Mirantin (2460 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
"
42,"1092
","Pointe de la Grande Journée
",2460.0,571.0,"45°40′03″N 06°30′04″E﻿ / ﻿45.66750°N 6.50111°E﻿ / 45.66750; 6.50111﻿ (1092. Pte de la Grande Journée (2460 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
"
43,"1094
","Rauchkofel
",2460.0,322.0,"46°37′10″N 12°53′00″E﻿ / ﻿46.61944°N 12.88333°E﻿ / 46.61944; 12.88333﻿ (1094. Rauchkofel (2460 m))
","Carnic Alps
","II/C-33.I-A
","Carinthia
","AT
"
44,"
","Cima dei Lasteri
",2459.0,295.0,"46°10′37″N 10°56′54″E﻿ / ﻿46.17694°N 10.94833°E﻿ / 46.17694; 10.94833﻿ (Cima dei Lasteri (2459 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
"
45,"1095
","Große Bischofsmütze
",2458.0,612.0,"47°29′38″N 13°30′40″E﻿ / ﻿47.49389°N 13.51111°E﻿ / 47.49389; 13.51111﻿ (1095. Große Bischofsmütze (2458 m))
","Dachstein Mts
","II/B-25.I-A
","Salzburg
","AT
"
46,"1096
","Gummfluh
",2458.0,574.0,"46°26′26″N 07°11′42″E﻿ / ﻿46.44056°N 7.19500°E﻿ / 46.44056; 7.19500﻿ (1096. Gummfluh (2458 m))
","Vaud Alps
","I/B-14.I-A
","Bern / Vaud
","CH
"
47,"1097
","Sonnjoch
",2457.0,625.0,"47°24′44″N 11°36′18″E﻿ / ﻿47.41222°N 11.60500°E﻿ / 47.41222; 11.60500﻿ (1097. Sonnjoch (2457 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
48,"1098
","Hohniesen
",2454.0,371.0,"46°34′38″N 07°35′00″E﻿ / ﻿46.57722°N 7.58333°E﻿ / 46.57722; 7.58333﻿ (1098. Hohniesen (2454 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
"
49,"
","Rumer Spitze [de]
",2454.0,296.0,"47°19′13″N 11°25′33″E﻿ / ﻿47.32028°N 11.42583°E﻿ / 47.32028; 11.42583﻿ (Rumer Spitze (2454 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
50,"1099
","Rocher Rond
",2453.0,365.0,"44°41′51″N 05°49′46″E﻿ / ﻿44.69750°N 5.82944°E﻿ / 44.69750; 5.82944﻿ (1099. Rocher Rond (2453 m))
","Dévoluy Mountains
","I/A-06.I-B
","Drôme  / Hautes-Alpes
","FR
"
51,"1100
","Gamsjoch [de]
",2452.0,658.0,"47°25′06″N 11°32′56″E﻿ / ﻿47.41833°N 11.54889°E﻿ / 47.41833; 11.54889﻿ (1100. Gamsjoch (2452 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
52,"1101
","Monte Bussaia
",2451.0,300.0,"44°13′05″N 07°28′05″E﻿ / ﻿44.21806°N 7.46806°E﻿ / 44.21806; 7.46806﻿ (1101. Monte Bussaia (2451 m))
","Maritime Alps
","I/A-02.I-A
","Cuneo
","IT
"
53,"1102
","Pomagagnon
",2450.0,370.0,"46°34′26″N 12°08′25″E﻿ / ﻿46.57389°N 12.14028°E﻿ / 46.57389; 12.14028﻿ (1102. Pomagagnon (2450 m))
","Dolomites – NE
","II/C-31.I-D
","Belluno
","IT
"
54,"1103
","Cima Cadi
",2449.0,589.0,"46°13′25″N 10°17′40″E﻿ / ﻿46.22361°N 10.29444°E﻿ / 46.22361; 10.29444﻿ (1103. Cima Cadi (2449 m))
","Ortler Alps
","II/C-28.I-B
","Brescia / Sondrio
","IT
"
55,"1104
","Großer Bösenstein
",2448.0,634.0,"47°26′36″N 14°24′16″E﻿ / ﻿47.44333°N 14.40444°E﻿ / 47.44333; 14.40444﻿ (1104. Großer Bösenstein (2448 m))
","Rottenmann Tauern
","II/A-18.III-B
","Styria
","AT
"
56,"1105
","Spitzmauer [de]
",2446.0,516.0,"47°41′43″N 14°03′44″E﻿ / ﻿47.69528°N 14.06222°E﻿ / 47.69528; 14.06222﻿ (1105. Spitzmauer (2446 m))
","Totes Gebirge
","II/B-25.III-A
","Upper Austria
","AT
"
57,"1106
","Monte Spondone
",2445.0,306.0,"45°58′50″N 09°47′41″E﻿ / ﻿45.98056°N 9.79472°E﻿ / 45.98056; 9.79472﻿ (1106. Monte Spondone (2445 m))
","Bergamasque Prealps
","II/C-29.II-B
","Bergamo
","IT
"
58,"1107
","Kröndlhorn
",2444.0,461.0,"47°17′56″N 12°09′53″E﻿ / ﻿47.29889°N 12.16472°E﻿ / 47.29889; 12.16472﻿ (1107. Kröndlhorn (2444 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
"
59,"1108
","Monte Siera [it]
",2443.0,344.0,"46°32′57″N 12°42′39″E﻿ / ﻿46.54917°N 12.71083°E﻿ / 46.54917; 12.71083﻿ (1108. Monte Siera (2443 m))
","Carnic Alps
","II/C-33.I-C
","Belluno / Udine
","IT
"
60,"1109
","Eisenhut
",2441.0,800.0,"46°57′07″N 13°55′44″E﻿ / ﻿46.95194°N 13.92889°E﻿ / 46.95194; 13.92889﻿ (1109. Eisenhut (2441 m))
","Nock Mountains
","II/A-19.I-A
","Styria
","AT
"
61,"1110
","Mürtschenstock
",2441.0,601.0,"47°04′12″N 09°08′39″E﻿ / ﻿47.07000°N 9.14417°E﻿ / 47.07000; 9.14417﻿ (1110. Mürtschenstock (2441 m))
","Glarus Alps
","I/B-13.II-C
","Glarus
","CH
"
62,"1111
","Großer Rosennock
",2440.0,657.0,"46°52′39″N 13°42′45″E﻿ / ﻿46.87750°N 13.71250°E﻿ / 46.87750; 13.71250﻿ (1111. Großer Rosennock (2440 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia
","AT
"
63,"1112
","Schwarzhorn
",2439.0,637.0,"46°20′05″N 11°27′17″E﻿ / ﻿46.33472°N 11.45472°E﻿ / 46.33472; 11.45472﻿ (1112. Schwarzhorn (2439 m))
","Fiemme Mountains
","II/C-31.V-A
","South Tyrol
","IT
"
64,"1113
","Pointe Blanche [fr]
",2438.0,825.0,"45°59′58″N 06°27′35″E﻿ / ﻿45.99944°N 6.45972°E﻿ / 45.99944; 6.45972﻿ (1113. Pte Blanche (2438 m))
","Bornes Massif
","I/B-08.IV-B
","Haute-Savoie
","FR
"
65,"1114
","Gufelstock
",2436.0,423.0,"47°01′30″N 09°08′48″E﻿ / ﻿47.02500°N 9.14667°E﻿ / 47.02500; 9.14667﻿ (1114. Gufelstock (2436 m))
","Glarus Alps
","I/B-13.II-A
","Glarus
","CH
"
66,"
","Kraxenkogel
",2436.0,296.0,"47°15′14″N 13°21′26″E﻿ / ﻿47.25389°N 13.35722°E﻿ / 47.25389; 13.35722﻿ (Kraxenkogel (2436 m))
","Radstadt Tauern
","II/A-18.I-A
","Salzburg
","AT
"
67,"1115
","Altmann
",2435.0,313.0,"47°14′22″N 09°22′18″E﻿ / ﻿47.23944°N 9.37167°E﻿ / 47.23944; 9.37167﻿ (1115. Altmann (2435 m))
","Appenzell Alps
","I/B-14.V-B
","Appenzell / St. Gallen
","CH
"
68,"1116
","Laugenspitze
",2434.0,636.0,"46°32′05″N 11°05′10″E﻿ / ﻿46.53472°N 11.08611°E﻿ / 46.53472; 11.08611﻿ (1116. Laugenspitze (2434 m))
","Nonsberg Group
","II/C-28.II-A
","South Tyrol
","IT
"
69,"1117
","Seehorn
",2434.0,567.0,"46°10′57″N 08°06′56″E﻿ / ﻿46.18250°N 8.11556°E﻿ / 46.18250; 8.11556﻿ (1117. Seehorn (2434 m))
","Pennine Alps
","I/B-09.V-C
","Valais
","CH
"
70,"1118
","Deneck
",2433.0,359.0,"47°17′28″N 14°03′00″E﻿ / ﻿47.29111°N 14.05000°E﻿ / 47.29111; 14.05000﻿ (1118. Deneck (2433 m))
","Schladming Tauern
","II/A-18.II-A
","Styria
","AT
"
71,"1119
","Cornettes de Bise
",2432.0,1061.0,"46°19′57″N 06°47′05″E﻿ / ﻿46.33250°N 6.78472°E﻿ / 46.33250; 6.78472﻿ (1119. Cornettes de Bise (2432 m))
","Chablais Alps
","I/B-08.III-B
","Valais / Haute-Savoie
","CH/FR
"
72,"1120
","Mont de Grange
",2432.0,768.0,"46°15′45″N 06°46′51″E﻿ / ﻿46.26250°N 6.78083°E﻿ / 46.26250; 6.78083﻿ (1120. Mont de Grange (2432 m))
","Chablais Alps
","I/B-08.III-A
","Haute-Savoie
","FR
"
73,"1121
","Raz de Bec
",2431.0,535.0,"44°40′05″N 05°59′17″E﻿ / ﻿44.66806°N 5.98806°E﻿ / 44.66806; 5.98806﻿ (1121. Raz de Bec (2431 m))
","Dévoluy Mountains
","I/A-06.I-A
","Hautes-Alpes
","FR
"
74,"1122
","L'Ouillon
",2431.0,367.0,"45°14′24″N 06°12′54″E﻿ / ﻿45.24000°N 6.21500°E﻿ / 45.24000; 6.21500﻿ (1122. L'Ouillon (2431 m))
","Dauphiné Alps
","I/A-05.I-B
","Isère
","FR
"
75,"1123
","Monte Azzarini
",2431.0,331.0,"46°03′35″N 09°38′33″E﻿ / ﻿46.05972°N 9.64250°E﻿ / 46.05972; 9.64250﻿ (1123. Monte Azzarini (2431 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo / Sondrio
","IT
"
76,"1124
","Raucheck
",2430.0,1463.0,"47°29′57″N 13°13′36″E﻿ / ﻿47.49917°N 13.22667°E﻿ / 47.49917; 13.22667﻿ (1124. Raucheck (2430 m))
","Tennen Mountains
","II/B-24.IV-A
","Salzburg
","AT
"
77,"1125
","Laliderer Falk [de]
",2427.0,654.0,"47°26′06″N 11°31′09″E﻿ / ﻿47.43500°N 11.51917°E﻿ / 47.43500; 11.51917﻿ (1125. Laliderer Falk (2427 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
78,"1126
","Monte Ferrante
",2427.0,357.0,"45°58′29″N 10°01′43″E﻿ / ﻿45.97472°N 10.02861°E﻿ / 45.97472; 10.02861﻿ (1126. Monte Ferrante (2427 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo
","IT
"
79,"1127
","Sforniòi di Mezzo
",2425.0,362.0,"46°20′55″N 12°16′02″E﻿ / ﻿46.34861°N 12.26722°E﻿ / 46.34861; 12.26722﻿ (1127. Sforniòi di Mezzo (2425 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
"
80,"1128
","Großer Galtenberg
",2424.0,513.0,"47°20′12″N 11°58′35″E﻿ / ﻿47.33667°N 11.97639°E﻿ / 47.33667; 11.97639﻿ (1128. Großer Galtenberg (2424 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol
","AT
"
81,"1129
","Col della Croce
",2423.0,376.0,"46°09′55″N 11°38′19″E﻿ / ﻿46.16528°N 11.63861°E﻿ / 46.16528; 11.63861﻿ (1129. Col della Croce (2423 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
"
82,"1130
","Oberwölzer Schoberspitze [de]
",2423.0,333.0,"47°17′21″N 14°09′40″E﻿ / ﻿47.28917°N 14.16111°E﻿ / 47.28917; 14.16111﻿ (1130. Oberwölzer Schoberspitze (2423 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
83,"1131
","L'Argentine
",2422.0,393.0,"46°16′24″N 07°7′51″E﻿ / ﻿46.27333°N 7.13083°E﻿ / 46.27333; 7.13083﻿ (1131. L'Argentine (2422 m))
","Vaud Alps
","I/B-12.III-A
","Vaud
","CH
"
84,"1132
","Monte Cimon
",2422.0,374.0,"46°33′05″N 12°45′47″E﻿ / ﻿46.55139°N 12.76306°E﻿ / 46.55139; 12.76306﻿ (1132. Monte Cimon (2422 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
"
85,"1133
","Monte Capezzone
",2421.0,603.0,"45°56′42″N 08°12′32″E﻿ / ﻿45.94500°N 8.20889°E﻿ / 45.94500; 8.20889﻿ (1133. Cima di Capezzone (2421 m))
","Monte Rosa Alps
","I/B-09.III-C
","V-C-O / Vercelli
","IT
"
86,"1134
","Geierhaupt
",2417.0,1172.0,"47°22′29″N 14°38′11″E﻿ / ﻿47.37472°N 14.63639°E﻿ / 47.37472; 14.63639﻿ (1134. Geierhaupt (2417 m))
","Seckau Tauern
","II/A-18.IV-A
","Styria
","AT
"
87,"1135
","Monte Alto di Pelsa
",2417.0,455.0,"46°21′21″N 11°59′59″E﻿ / ﻿46.35583°N 11.99972°E﻿ / 46.35583; 11.99972﻿ (1135. Monte Alto di Pelsa (2417 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
"
88,"1136
","Ehrwalder Sonnenspitze
",2417.0,417.0,"47°22′03″N 10°55′19″E﻿ / ﻿47.36750°N 10.92194°E﻿ / 47.36750; 10.92194﻿ (1136. Ehrwalder Sonnenspitze (2417 m))
","Mieminger Chain
","II/B-21.III-A
","North Tyrol
","AT
"
89,"1137
","Pizzo Erra
",2417.0,301.0,"46°26′28″N 08°53′27″E﻿ / ﻿46.44111°N 8.89083°E﻿ / 46.44111; 8.89083﻿ (1137. Pizzo Erra (2417 m))
","Saint-Gotthard Massif
","I/B-10.I-B
","Ticino
","CH
"
90,"1138
","Karhorn [de]
",2416.0,706.0,"47°14′53″N 10°09′04″E﻿ / ﻿47.24806°N 10.15111°E﻿ / 47.24806; 10.15111﻿ (1138. Karhorn (2416 m))
","Lechquellen Mts
","II/B-21.II-A
","Vorarlberg
","AT
"
91,"1139
","Hochreichart [de]
",2416.0,336.0,"47°21′48″N 14°40′55″E﻿ / ﻿47.36333°N 14.68194°E﻿ / 47.36333; 14.68194﻿ (1139. Hochreichart (2416 m))
","Seckau Tauern
","II/A-18.IV-B
","Styria
","AT
"
92,"1140
","Hoh Brisen
",2413.0,489.0,"46°53′51″N 08°27′57″E﻿ / ﻿46.89750°N 8.46583°E﻿ / 46.89750; 8.46583﻿ (1140. Hoh Brisen (2413 m))
","Uri Alps
","I/B-12.I-B
","Nidwalden / Uri
","CH
"
93,"1141
","Crodon di Tiarfin
",2413.0,446.0,"46°27′57″N 12°35′30″E﻿ / ﻿46.46583°N 12.59167°E﻿ / 46.46583; 12.59167﻿ (1141. Crodon di Tiarfin (2413 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
"
94,"1142
","Schafberg
",2413.0,403.0,"47°10′09″N 09°57′05″E﻿ / ﻿47.16917°N 9.95139°E﻿ / 47.16917; 9.95139﻿ (1142. Schafberg (2413 m))
","Lechquellen Mts
","II/B-21.II-A
","Vorarlberg
","AT
"
95,"1143
","Sassolungo di Cibiana [it]
",2413.0,335.0,"46°21′32″N 12°16′58″E﻿ / ﻿46.35889°N 12.28278°E﻿ / 46.35889; 12.28278﻿ (1143. Sassolungo di Cibiana (2413 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
"
96,"1144
","Bleikogel [de]
",2411.0,334.0,"47°30′51″N 13°17′54″E﻿ / ﻿47.51417°N 13.29833°E﻿ / 47.51417; 13.29833﻿ (1144. Bleikogel (2411 m))
","Tennen Mountains
","II/B-24.IV-A
","Salzburg
","AT
"
97,"1145
","Grignone
",2409.0,1686.0,"45°57′12″N 09°23′15″E﻿ / ﻿45.95333°N 9.38750°E﻿ / 45.95333; 9.38750﻿ (1145. Grignone (2409 m))
","Bergamasque Prealps
","II/C-29.II-A
","Lecco
","IT
"
