,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
"
13,"550
","Piz de la Lumbreida
",2983.0,564.0,"46°28′52″N 09°13′31″E﻿ / ﻿46.48111°N 9.22528°E﻿ / 46.48111; 9.22528﻿ (550. Piz de la Lumbreida (2983 m))
","Adula Alps
","I/B-10.III-D
","Graubünden
","CH
","
"
14,"551
","Cima Bagni
",2983.0,455.0,"46°36′55″N 12°24′37″E﻿ / ﻿46.61528°N 12.41028°E﻿ / 46.61528; 12.41028﻿ (551. Cima Bagni (2983 m))
","Sexten Dolomites
","II/C-31.I-A
","Belluno
","IT
","
"
15,"552
","Pala di San Martino [it]
",2982.0,410.0,"46°15′13″N 11°51′03″E﻿ / ﻿46.25361°N 11.85083°E﻿ / 46.25361; 11.85083﻿ (552. Pala di San Martino (2982 m))
","Dolomites - S
","II/C-31.IV-A
","Trentino
","IT
","1878
"
16,"553
","Rosengartenspitze/Cima Catinaccio
",2981.0,425.0,"46°27′17″N 11°37′15″E﻿ / ﻿46.45472°N 11.62083°E﻿ / 46.45472; 11.62083﻿ (553. Rosengartenspitze / Cima Catinaccio (2981 m))
","Dolomites - NW
","II/C-31.III-B
","S-Tyrol/Trentino
","IT
","1874
"
17,"554
","Aroser Rothorn
",2980.0,1349.0,"46°44′16″N 09°36′50″E﻿ / ﻿46.73778°N 9.61389°E﻿ / 46.73778; 9.61389﻿ (554. Aroser Rothorn (2980 m))
","Plessur Alps
","II/A-15.VII-B
","Graubünden
","CH
","
"
18,"555
","Ròthòre / Corno Rosso
",2979.0,490.0,"45°46′01″N 07°52′49″E﻿ / ﻿45.76694°N 7.88028°E﻿ / 45.76694; 7.88028﻿ (555. Ròthòre / Corno Rosso (2979 m))
","Monte Rosa Alps
","I/B-09.III-C
","Aosta/Vercelli
","IT
","
"
19,"556
","La Tsavre
",2978.0,305.0,"45°54′56″N 07°07′46″E﻿ / ﻿45.91556°N 7.12944°E﻿ / 45.91556; 7.12944﻿ (556. La Tsavre (2978 m))
","Grand Combin Alps
","I/B-09.I-A
","Valais
","CH
","
"
20,"557
","Grand Pic de Belledonne
",2977.0,1053.0,"45°10′15″N 05°59′30″E﻿ / ﻿45.17083°N 5.99167°E﻿ / 45.17083; 5.99167﻿ (557. Grand Pic de Belledonne (2977 m))
","Belledonne
","I/A-05.II-B
","Isère
","FR
","1859
"
21,"558
","Pic de Colle Blanche
",2975.0,335.0,"44°45′12″N 06°10′21″E﻿ / ﻿44.75333°N 6.17250°E﻿ / 44.75333; 6.17250﻿ (558. Pic de Colle Blanche (2975 m))
","Massif des Écrins
","I/A-05.V-A
","Hautes-Alpes
","FR
","
"
22,"559
","Monte Redival
",2973.0,356.0,"46°18′31″N 10°36′51″E﻿ / ﻿46.30861°N 10.61417°E﻿ / 46.30861; 10.61417﻿ (559. Monte Redival (2973 m))
","Ortler Alps
","II/C-28.I-A
","Trentino
","IT
","1878
"
23,"560
","Chateleysine /Tsa at a l'Etsena
",2973.0,327.0,"45°48′05″N 07°23′59″E﻿ / ﻿45.80139°N 7.39972°E﻿ / 45.80139; 7.39972﻿ (560. Tsa at a l'Etsena / Chateleysine (2971 m))
","Weisshorn-Matterhorn
","I/B-09.II-B
","Aosta Valley
","IT
","
"
24,"561
","Cima Ovest/Westliche Zinne
",2973.0,306.0,"46°37′07″N 12°17′50″E﻿ / ﻿46.61861°N 12.29722°E﻿ / 46.61861; 12.29722﻿ (561. Cima Ovest / Westliche Zinne (2973 m))
","Sexten Dolomites
","II/C-31.I-A
","Belluno/S-Tyrol
","IT
","1879
"
25,"562
","Piz Curvér
",2972.0,456.0,"46°36′12″N 09°29′50″E﻿ / ﻿46.60333°N 9.49722°E﻿ / 46.60333; 9.49722﻿ (562. Piz Curvér (2972 m))
","Oberhalbstein Range
","II/A-15.I-B
","Graubünden
","CH
","1843
"
26,"563
","Wildgrat
",2971.0,461.0,"47°08′26″N 10°49′36″E﻿ / ﻿47.14056°N 10.82667°E﻿ / 47.14056; 10.82667﻿ (563. Wildgrat (2971 m))
","Ötztal Alps
","II/A-16.I-C
","North Tyrol
","AT
","
"
27,"564
","Schilthorn
",2970.0,358.0,"46°33′27″N 07°50′05″E﻿ / ﻿46.55750°N 7.83472°E﻿ / 46.55750; 7.83472﻿ (564. Schilthorn (2970 m))
","Bernese Prealps
","I/B-14.II-B
","Bern
","CH
","
"
28,"565
","Haut de Cry
",2969.0,525.0,"46°14′25″N 07°11′42″E﻿ / ﻿46.24028°N 7.19500°E﻿ / 46.24028; 7.19500﻿ (565. Haut de Cry (2969 m))
","Vaud Alps
","I/B-12.III-A
","Valais
","CH
","
"
29,"566
","Grieshorn
",2969.0,509.0,"46°27′05″N 08°23′35″E﻿ / ﻿46.45139°N 8.39306°E﻿ / 46.45139; 8.39306﻿ (566. Grieshorn (2969 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Ticino/V-C-O
","CH/IT
","
"
30,"567
","Dent de Morcles
",2969.0,465.0,"46°11′57″N 07°04′32″E﻿ / ﻿46.19917°N 7.07556°E﻿ / 46.19917; 7.07556﻿ (567. Dent de Morcles (2969 m))
","Vaud Alps
","I/B-12.III-A
","Valais
","CH
","1787
"
31,"568
","Piz Daint
",2968.0,734.0,"46°37′07″N 10°17′27″E﻿ / ﻿46.61861°N 10.29083°E﻿ / 46.61861; 10.29083﻿ (568. Piz Daint (2968 m))
","Ortler Alps
","II/A-15.V-A
","Graubünden
","CH
","
"
32,"569
","Neuner / Sas dles Nü
",2968.0,301.0,"46°37′49″N 11°58′52″E﻿ / ﻿46.63028°N 11.98111°E﻿ / 46.63028; 11.98111﻿ (569. Neuner / Sas dles Nü (2968 m))
","Dolomites - NE
","II/C-31.I-C
","South Tyrol
","IT
","
"
33,"
","Cima del Duca
",2968.0,293.0,"46°17′16″N 09°47′46″E﻿ / ﻿46.28778°N 9.79611°E﻿ / 46.28778; 9.79611﻿ (Cima del Duca (2968 m))
","Bregaglia Range
","II/A-15.III-B
","Sondrio
","IT
","
"
34,"570
","Serottini
",2967.0,425.0,"46°17′27″N 10°20′52″E﻿ / ﻿46.29083°N 10.34778°E﻿ / 46.29083; 10.34778﻿ (570. Serottini (2967 m))
","Ortler Alps
","II/C-28.I-B
","Brescia/Sondrio
","IT
","
"
35,"571
","Schober
",2967.0,380.0,"47°02′04″N 13°28′06″E﻿ / ﻿47.03444°N 13.46833°E﻿ / 47.03444; 13.46833﻿ (571. Schober (2967 m))
","Ankogel Group
","II/A-17.II-F
","Carinthia
","AT
","
"
36,"572
","Haunold
",2966.0,677.0,"46°41′19″N 12°16′39″E﻿ / ﻿46.68861°N 12.27750°E﻿ / 46.68861; 12.27750﻿ (572. Haunold (2966 m))
","Sexten Dolomites
","II/C-31.I-A
","South Tyrol
","IT
","1878
"
37,"573
","Schesaplana
",2965.0,828.0,"47°03′13″N 09°42′27″E﻿ / ﻿47.05361°N 9.70750°E﻿ / 47.05361; 9.70750﻿ (573. Schesaplana (2965 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlb/Graub.
","AT/CH
","1735
"
38,"574
","Aiguille du Belvédère
",2965.0,505.0,"45°59′16″N 06°52′25″E﻿ / ﻿45.98778°N 6.87361°E﻿ / 45.98778; 6.87361﻿ (574. Aig. du Belvédère (2965 m))
","Chablais Alps
","I/B-08.II-A
","Haute-Savoie
","FR
","
"
39,"575
","Reißeck
",2965.0,300.0,"46°56′50″N 13°21′52″E﻿ / ﻿46.94722°N 13.36444°E﻿ / 46.94722; 13.36444﻿ (575. Reißeck (2965 m))
","Ankogel Group
","II/A-17.II-F
","Carinthia
","AT
","
"
40,"576
","Monte Tagliaferro
",2964.0,640.0,"45°52′21″N 07°58′15″E﻿ / ﻿45.87250°N 7.97083°E﻿ / 45.87250; 7.97083﻿ (576. Monte Tagliaferro (2964 m))
","Monte Rosa Alps
","I/B-09.III-C
","Vercelli
","IT
","
"
41,"577
","Piz Turettas
",2963.0,400.0,"46°35′13″N 10°20′05″E﻿ / ﻿46.58694°N 10.33472°E﻿ / 46.58694; 10.33472﻿ (577. Piz Turettas (2963 m))
","Ortler Alps
","II/A-15.V-A
","Graubünden
","CH
","
"
42,"578
","Pizzo Lucendro
",2963.0,350.0,"46°32′20″N 08°31′10″E﻿ / ﻿46.53889°N 8.51944°E﻿ / 46.53889; 8.51944﻿ (578. Pizzo Lucendro (2963 m))
","Leone-Gotthard Alps
","I/B-10.I-B
","Ticino/Uri
","CH
","1871
"
43,"579
","Zugspitze
",2962.0,1746.0,"47°25′16″N 10°59′07″E﻿ / ﻿47.42111°N 10.98528°E﻿ / 47.42111; 10.98528﻿ (579. Zugspitze (2962 m))
","Wetterstein
","II/B-21.III-B
","N-Tyrol/Bavaria
","AT/DE
","1820
"
44,"580
","Weiße Spitze
",2962.0,910.0,"46°52′19″N 12°21′28″E﻿ / ﻿46.87194°N 12.35778°E﻿ / 46.87194; 12.35778﻿ (580. Weiße Spitze (2962 m))
","Villgraten Mountains
","II/A-17.III-B
","East Tyrol
","AT
","1894
"
45,"581
","Rienzenstock
",2962.0,479.0,"46°40′59″N 08°38′06″E﻿ / ﻿46.68306°N 8.63500°E﻿ / 46.68306; 8.63500﻿ (581. Rienzenstock (2962 m))
","Glarus Alps
","I/B-13.I-A
","Uri
","CH
","
"
46,"582
","Marchhorn/Pta del Termine
",2962.0,327.0,"46°26′55″N 08°27′45″E﻿ / ﻿46.44861°N 8.46250°E﻿ / 46.44861; 8.46250﻿ (582. Marchhorn / Pta del Termine (2962 m))
","Ticino Alps
","I/B-10.II-A
","Ticino/V-C-O
","CH/IT
","
"
47,"583
","Tête de l'Estrop
",2961.0,712.0,"44°17′12″N 06°30′21″E﻿ / ﻿44.28667°N 6.50583°E﻿ / 44.28667; 6.50583﻿ (583. Tête de l'Estrop (2961 m))
","Provence Alps
","I/A-03.1-A
","A-d-H-Provence
","FR
","
"
48,"584
","Cima Brenta Alta [de]
",2961.0,341.0,"46°09′37″N 10°53′47″E﻿ / ﻿46.16028°N 10.89639°E﻿ / 46.16028; 10.89639﻿ (584. Cima Brenta Alta (2961 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
","1880
"
49,"585
","Piz Lagalb
",2959.0,524.0,"46°25′54″N 10°01′25″E﻿ / ﻿46.43167°N 10.02361°E﻿ / 46.43167; 10.02361﻿ (585. Piz Lagalb (2959 m))
","Livigno Alps
","II/A-15.IV-A
","Graubünden
","CH
","
"
50,"586
","Cima Giner
",2957.0,340.0,"46°14′14″N 10°43′57″E﻿ / ﻿46.23722°N 10.73250°E﻿ / 46.23722; 10.73250﻿ (586. Cima Giner (2957 m))
","Adamello-Presanella
","II/C-28.III-B
","Trentino
","IT
","
"
51,"587
","Piz Miez
",2956.0,445.0,"46°39′17″N 08°55′00″E﻿ / ﻿46.65472°N 8.91667°E﻿ / 46.65472; 8.91667﻿ (587. Piz Miez (2956 m))
","Adula Alps
","I/B-10.III-A
","Graubünden
","CH
","
"
52,"588
","Tête de L'Enchastraye/Enciastraia
",2954.0,310.0,"44°22′03″N 06°53′18″E﻿ / ﻿44.36750°N 6.88833°E﻿ / 44.36750; 6.88833﻿ (588. Tête de L'Enchastraye / Enciastraia (2954 m))
","Maritime Alps
","I/A-02.I-C
","AdHP/Cuneo
","FR/IT
","
"
53,"589
","Torent / Torrone Alto
",2952.0,835.0,"46°20′37″N 09°04′16″E﻿ / ﻿46.34361°N 9.07111°E﻿ / 46.34361; 9.07111﻿ (589. Torent / Torrone Alto (2952 m))
","Adula Alps
","I/B-10.III-B
","Graub./Ticino
","CH
","1882
"
54,"590
","Brunnistock
",2952.0,661.0,"46°50′52″N 08°33′00″E﻿ / ﻿46.84778°N 8.55000°E﻿ / 46.84778; 8.55000﻿ (590. Brunnistock (2952 m))
","Urner Alps
","I/B-12.I-B
","Uri
","CH
","
"
55,"591
","Crasta Mora
",2952.0,486.0,"46°34′17″N 09°52′05″E﻿ / ﻿46.57139°N 9.86806°E﻿ / 46.57139; 9.86806﻿ (591. Crasta Mora (2952 m))
","Albula Alps
","II/A-15.II-A
","Graubünden
","CH
","
"
56,"592
","Bättlihorn
",2951.0,388.0,"46°19′57″N 08°05′38″E﻿ / ﻿46.33250°N 8.09389°E﻿ / 46.33250; 8.09389﻿ (592. Bättlihorn (2951 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais
","CH
","
"
57,"593
","Corni di Nefelgiú
",2951.0,368.0,"46°23′44″N 08°22′46″E﻿ / ﻿46.39556°N 8.37944°E﻿ / 46.39556; 8.37944﻿ (593. Corni di Nefelgiú (2951 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","V-C-O
","IT
","
"
58,"
","Hochgrabe [pl]
",2951.0,296.0,"46°50′56″N 12°25′18″E﻿ / ﻿46.84889°N 12.42167°E﻿ / 46.84889; 12.42167﻿ (Hochgrabe (2951 m))
","Villgraten Mountains
","II/A-17.III-B
","East Tyrol
","AT
","
"
59,"594
","Crête de Lacha
",2950.0,425.0,"45°05′50″N 06°27′34″E﻿ / ﻿45.09722°N 6.45944°E﻿ / 45.09722; 6.45944﻿ (594. Crête de Lacha (2950 m))
","Massif des Cerces
","I/A-04.III-A
","Savoie
","FR
","
"
60,"595
","Asta Soprana [it]
",2950.0,424.0,"44°12′12″N 07°18′48″E﻿ / ﻿44.20333°N 7.31333°E﻿ / 44.20333; 7.31333﻿ (595. Asta Soprana (2950 m))
","Maritime Alps
","I/A-02.I-B
","Cuneo
","IT
","
"
61,"596
","Piz Tomül / Wissensteinhorn
",2946.0,534.0,"46°37′24″N 09°13′42″E﻿ / ﻿46.62333°N 9.22833°E﻿ / 46.62333; 9.22833﻿ (596. Piz Tomül / Wissensteinhorn (2946 m))
","Adula Alps
","I/B-10.III-C
","Graubünden
","CH
","1807
"
62,"597
","Piz Cavel
",2946.0,518.0,"46°39′21″N 09°01′11″E﻿ / ﻿46.65583°N 9.01972°E﻿ / 46.65583; 9.01972﻿ (597. Piz Cavel (2946 m))
","Adula Alps
","I/B-10.III-A
","Graubünden
","CH
","
"
63,"598
","Einshorn
",2944.0,571.0,"46°30′58″N 09°13′49″E﻿ / ﻿46.51611°N 9.23028°E﻿ / 46.51611; 9.23028﻿ (598. Einshorn (2944 m))
","Adula Alps
","I/B-10.III-D
","Graubünden
","CH
","
"
64,"599
","Gölbner [pl]
",2943.0,382.0,"46°49′27″N 12°30′18″E﻿ / ﻿46.82417°N 12.50500°E﻿ / 46.82417; 12.50500﻿ (599. Gölbner (2943 m))
","Villgraten Mountains
","II/A-17.III-B
","East Tyrol
","AT
","
"
65,"600
","Hochkönig
",2941.0,2181.0,"47°25′13″N 13°03′45″E﻿ / ﻿47.42028°N 13.06250°E﻿ / 47.42028; 13.06250﻿ (600. Hochkönig (2941 m))
","Berchtesgaden Alps
","II/B-24.III-A
","Salzburg
","AT
","1826
"
66,"601
","Cime de la Condamine
",2940.0,515.0,"44°53′33″N 06°31′11″E﻿ / ﻿44.89250°N 6.51972°E﻿ / 44.89250; 6.51972﻿ (601. Cime de la Condamine (2940 m))
","Massif des Écrins
","I/A-05.III-A
","Hautes-Alpes
","FR
","
"
67,"602
","Gross Schinhorn/Punta di Valdeserta
",2939.0,465.0,"46°21′40″N 08°15′39″E﻿ / ﻿46.36111°N 8.26083°E﻿ / 46.36111; 8.26083﻿ (602. Gross Schinhorn / Pta di Valdeserta (2939 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Valais/V-C-O
","CH/IT
","
"
68,"603
","Pointe de la Louïe Blanche
",2939.0,372.0,"45°39′40″N 06°54′53″E﻿ / ﻿45.66111°N 6.91472°E﻿ / 45.66111; 6.91472﻿ (603. Pte de la Louïe Blanche (2939 m))
","Graian Alps - Central
","I/B-07.III-B
","Savoie/Aosta
","FR/IT
","
"
69,"604
","Pizzo del Ramulazz S
",2939.0,324.0,"46°23′48″N 09°05′34″E﻿ / ﻿46.39667°N 9.09278°E﻿ / 46.39667; 9.09278﻿ (604. Pizzo del Ramulazz S (2939 m))
","Adula Alps
","I/B-10.III-B
","Graub./Ticino
","CH
","
"
70,"
","Monte Unghiasse [it]
",2939.0,298.0,"45°24′58″N 07°17′42″E﻿ / ﻿45.41611°N 7.29500°E﻿ / 45.41611; 7.29500﻿ (Monte Unghiasse (2939 m))
","Graian Alps - SE
","I/B-07.I-C
","Turin
","IT
","
"
71,"605
","Pic de Chabrières[Note 6]
",2938.0,435.0,"44°34′14″N 06°37′25″E﻿ / ﻿44.57056°N 6.62361°E﻿ / 44.57056; 6.62361﻿ (605. Pic de Chabrières  (2938 m))
","Southern Cottian Alps
","I/A-04.I-B
","A-d-H-Provence
","FR
","
"
72,"606
","Mont Malinvern / Testa Malinvern [it]
",2938.0,403.0,"44°11′56″N 07°11′22″E﻿ / ﻿44.19889°N 7.18944°E﻿ / 44.19889; 7.18944﻿ (606. Mont / Testa Malinvern (2938 m))
","Maritime Alps
","I/A-02.I-B
","A-Marit/Cuneo
","FR/IT
","1878
"
73,"607
","Cime di Plator
",2937.0,654.0,"46°30′54″N 10°16′14″E﻿ / ﻿46.51500°N 10.27056°E﻿ / 46.51500; 10.27056﻿ (607. Cime di Plator (2937 m))
","Livigno Alps
","II/A-15.IV-A
","Sondrio
","IT
","
"
74,"608
","Pietra Grande [de]
",2937.0,496.0,"46°13′53″N 10°53′45″E﻿ / ﻿46.23139°N 10.89583°E﻿ / 46.23139; 10.89583﻿ (608. Pietra Grande (2937 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
","1883
"
75,"609
","Monte Gruf [lmo]
",2936.0,446.0,"46°17′10″N 09°30′21″E﻿ / ﻿46.28611°N 9.50583°E﻿ / 46.28611; 9.50583﻿ (609. Monte Gruf (2936 m))
","Bregaglia Range
","II/A-15.III-B
","Sondrio
","IT
","
"
76,"
","Mont du Grand Capelet
",2935.0,298.0,"44°04′42″N 07°25′39″E﻿ / ﻿44.07833°N 7.42750°E﻿ / 44.07833; 7.42750﻿ (Mont du Grand Capelet (2935 m))
","Maritime Alps
","I/A-02.I-A
","Alpes Maritimes
","FR
","
"
77,"610
","Cimon del Froppa
",2932.0,677.0,"46°30′26″N 12°20′26″E﻿ / ﻿46.50722°N 12.34056°E﻿ / 46.50722; 12.34056﻿ (610. Cimon del Froppa (2932 m))
","Dolomites - NE
","II/C-31.I-E
","Belluno
","IT
","1872
"
78,"611
","Monte Pettini
",2932.0,640.0,"46°32′10″N 10°13′39″E﻿ / ﻿46.53611°N 10.22750°E﻿ / 46.53611; 10.22750﻿ (611. Monte Pettini (2932 m))
","Livigno Alps
","II/A-15.IV-B
","Sondrio
","IT
","
"
79,"612
","Bärenhorn
",2929.0,449.0,"46°34′32″N 09°13′55″E﻿ / ﻿46.57556°N 9.23194°E﻿ / 46.57556; 9.23194﻿ (612. Bärenhorn (2929 m))
","Adula Alps
","I/B-10.III-C
","Graubünden
","CH
","
"
80,"613
","Tête du Pelvas/Monte Palavas [it]
",2929.0,400.0,"44°47′24″N 06°59′59″E﻿ / ﻿44.79000°N 6.99972°E﻿ / 44.79000; 6.99972﻿ (613. Tête du Pelvas/Monte Palavas (2929 m))
","Central Cottian Alps
","I/A-04.II-A
","H-Alpes/Turin
","FR/IT
","
"
81,"614
","Rosställispitz
",2929.0,368.0,"46°47′21″N 09°59′37″E﻿ / ﻿46.78917°N 9.99361°E﻿ / 46.78917; 9.99361﻿ (614. Rosställispitz (2929 m))
","Silvretta
","II/A-15.VI-A
","Graubünden
","CH
","
"
82,"615
","Schwarzhorn
",2928.0,966.0,"46°41′10″N 08°04′32″E﻿ / ﻿46.68611°N 8.07556°E﻿ / 46.68611; 8.07556﻿ (615. Schwarzhorn (2928 m))
","Bernese Prealps
","I/B-14.II-B
","Bern
","CH
","
"
83,"616
","Rocher Blanc [fr]
",2928.0,939.0,"45°14′30″N 06°06′26″E﻿ / ﻿45.24167°N 6.10722°E﻿ / 45.24167; 6.10722﻿ (616. Rocher Blanc (2928 m))
","Belledonne
","I/A-05.II-A
","Isère
","FR
","
"
84,"617
","Badus / Six Madun
",2928.0,529.0,"46°37′21″N 08°39′49″E﻿ / ﻿46.62250°N 8.66361°E﻿ / 46.62250; 8.66361﻿ (617. Badus / Six Madun (2928 m))
","Leone-Gotthard Alps
","I/B-10.I-B
","Graubünden/Uri
","CH
","1785
"
85,"618
","Tête des Lauzières
",2928.0,339.0,"44°52′27″N 06°31′42″E﻿ / ﻿44.87417°N 6.52833°E﻿ / 44.87417; 6.52833﻿ (618. Tête des Lauzières (2928 m))
","Massif des Écrins
","I/A-05.III-A
","Hautes-Alpes
","FR
","
"
86,"
","Vollandspitze
",2928.0,295.0,"47°01′07″N 10°10′36″E﻿ / ﻿47.01861°N 10.17667°E﻿ / 47.01861; 10.17667﻿ (Vollandspitze (2928 m))
","Verwall
","II/A-15.VI-C
","North Tyrol
","AT
","1886
"
87,"619
","Eggishorn
",2927.0,563.0,"46°25′53″N 08°05′39″E﻿ / ﻿46.43139°N 8.09417°E﻿ / 46.43139; 8.09417﻿ (619. Eggishorn (2927 m))
","Bernese Alps
","I/B-12.II-B
","Valais
","CH
","
"
88,"620
","Cima Bastioni Sud
",2926.0,554.0,"46°29′07″N 12°16′04″E﻿ / ﻿46.48528°N 12.26778°E﻿ / 46.48528; 12.26778﻿ (620. Cima Bastioni Sud (2926 m))
","Dolomites - NE
","II/C-31.I-E
","Belluno
","IT
","1890
"
89,"621
","Pizzo del Diavolo della Malgina
",2926.0,330.0,"46°05′05″N 10°02′48″E﻿ / ﻿46.08472°N 10.04667°E﻿ / 46.08472; 10.04667﻿ (621. Pizzo del Diavolo della Malgina (2926 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo/Sondrio
","IT
","
"
90,"622
","Edlenkopf
",2923.0,441.0,"47°08′11″N 12°55′35″E﻿ / ﻿47.13639°N 12.92639°E﻿ / 47.13639; 12.92639﻿ (622. Edlenkopf (2923 m))
","Goldberg Group
","II/A-17.II-E
","Salzburg
","AT
","
"
91,"623
","Mährenhorn
",2923.0,355.0,"46°41′30″N 08°18′39″E﻿ / ﻿46.69167°N 8.31083°E﻿ / 46.69167; 8.31083﻿ (623. Mährenhorn (2923 m))
","Urner Alps
","I/B-12.I-A
","Bern
","CH
","
"
92,"624
","Birkenkofel
",2922.0,385.0,"46°40′51″N 12°15′24″E﻿ / ﻿46.68083°N 12.25667°E﻿ / 46.68083; 12.25667﻿ (624. Birkenkofel (2922 m))
","Sexten Dolomites
","II/C-31.I-A
","South Tyrol
","IT
","1880
"
93,"625
","Mont Revic / Monte Ruvi
",2922.0,334.0,"45°41′21″N 07°33′52″E﻿ / ﻿45.68917°N 7.56444°E﻿ / 45.68917; 7.56444﻿ (625. Mont Revic (2922 m))
","Gran Paradiso Alps
","I/B-07.IV-C
","Aosta Valley
","IT
","
"
94,"626
","Hochgasser
",2922.0,311.0,"47°09′02″N 12°31′19″E﻿ / ﻿47.15056°N 12.52194°E﻿ / 47.15056; 12.52194﻿ (626. Hochgasser (2922 m))
","Granatspitze Group
","II/A-17.II-B
","E-Tyrol/Salzburg
","AT
","
"
95,"
","Aiguille du Grand Fond
",2920.0,298.0,"45°39′59″N 06°40′15″E﻿ / ﻿45.66639°N 6.67083°E﻿ / 45.66639; 6.67083﻿ (Aig. du Grand Fond (2920 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
","
"
